作答ID,开始时间,结束时间,作答总时长(秒),作答渠道,省份,城市,设备类型,操作系统类型,浏览器类型,质检结果,你的身份是？,请选择你的年龄段,你使用 AI 工具(ChatGPT、Claude、豆包、Kimi、DeepSeek 等)的情况是?,你平时使用本地生活类 App 的频率如何？例如美团、大众点评、高德、小红书等。,你在哪类本地生活选择中最容易纠结？,在这类最容易纠结的选择中，你通常的状态更接近哪一种？,"如果有一个 AI 本地生活管家(能帮你做吃饭、出行、约饭、周末等本地生活决策),最接近你的真实反应是?",你更希望 AI 管家以哪种方式工作？,你平均多久会和朋友 / 同学 / 同事进行一次线下约饭、聚会或一起出行？,你是否经常遇到“和朋友约饭 / 聚会很难定下来”的情况？,"如果下次约饭遇到分歧,你最可能怎么做?",在多人决策中，你更希望 AI 怎么推荐？,AI 生成多人方案后，你是否希望它说明“照顾了谁的偏好、牺牲了什么”？,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最看重,如果AI 在推荐前自动检查以下内容，你觉得最看重/最不看重哪一项？-最不看重,如果 AI 发现推荐方案不满足你的条件，你希望它优先怎么做？,为保证问卷质量，本题请选择特定选项,你是否希望 AI 管家记住你的个人长期偏好？例如不吃辣、预算、人均消费、常去区域等,关于 AI 记录朋友 / 同事 / 小团体偏好，你更能接受哪种方式？,"请你回想最近一次""做本地生活决策很累""的经历,可能是吃饭、约人、规划周末或别的事。请用 1-2 句话描述这件事",school_work_status,school_work_rule
vN623B2QN9x,2026-05-08 15:54:20,2026-05-08 16:00:28,368,数据集市,吉林省,长春市,MOBILE,Android,Chrome,正常,C. 研究生,30 岁以上,C.每周使用几次，有需要时才用,B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,不知道大家都吃什么，统一不了口味,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
Q4wKQbDzvWY,2026-05-08 15:53:59,2026-05-08 16:00:13,374,数据集市,河北省,唐山市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,D. 不太希望，觉得解释太多会麻烦,是否营业,是否太远,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,和朋友约好去吃饭，到达吃饭地点时，由于人太多，得了将近一个小时！,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
vN623R3XJpv,2026-05-08 15:55:24,2026-05-08 16:00:06,282,数据集市,安徽省,阜阳市,MOBILE,Android,Chrome,正常,C. 研究生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,A. 每周 3 次及以上,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,每次周末想安排出门吃饭游玩，翻遍各种平台选餐厅、挑游玩地点，还要兼顾距离和口味，来回纠结对比，整个过程特别耗精力，让人觉得特别心累。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
WPgK4Z0mv3X,2026-05-08 15:54:42,2026-05-08 16:00:04,322,数据集市,河北省,衡水市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,C. 很少,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否排队太久,是否有人的需求被明显牺牲,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
XO2KdvNKJ8D,2026-05-08 15:55:45,2026-05-08 16:00:00,255,数据集市,山东省,泰安市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否超预算,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,周末我约同学一起吃饭大家的意见不统一，很难做决定去哪吃,边界模糊-剔除,23-26 岁 + 专科/本科生
Q4wKQR00qmB,2026-05-08 15:54:20,2026-05-08 15:59:54,334,数据集市,山东省,济宁市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,27-30 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,E. 我基本不纠结,,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,4445,已工作,明确选择已工作 1-3 年/3 年以上
XO2KdvENO3G,2026-05-08 15:54:14,2026-05-08 15:59:53,339,数据集市,江西省,南昌市,MOBILE,Android,Chrome,正常,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否排队太久,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,不知道吃什么 两个人就在门口转悠了好几圈,在校,18-22 岁 + 专科/本科生
nNV32lDJmvA,2026-05-08 15:54:00,2026-05-08 15:59:51,351,数据集市,山东省,日照市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否有人的需求被明显牺牲,B. 主动追问缺失信息后再修改,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,上周末约朋友吃饭，李明出门了，张飞感冒不喝酒，没有约成，最后定在了这周末一起吃个饭。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
nNV322ZyQRm,2026-05-08 15:54:00,2026-05-08 15:59:33,333,数据集市,河南省,郑州市,MOBILE,iOS,Apple WebKit,正常,F. 已工作 3 年以上,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,A. 我问它，它再回答,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,周末去餐厅吃饭 看了几家餐厅和评价后 还是没到价格合适又饭菜可口的店 最终选择随便吃一点,已工作,明确选择已工作 1-3 年/3 年以上
bNxK6wD0Ebn,2026-05-08 15:54:03,2026-05-08 15:59:24,321,数据集市,云南省,昆明市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,B. 有时,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,合理规划了时间和风评最好的用餐地点,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
NRYKrBy53nW,2026-05-08 15:54:20,2026-05-08 15:58:58,278,数据集市,广东省,深圳市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",C. 每周 1-2 次,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,晚上想点外卖，刷了半个多小时的软件，在各种菜品和优惠里来回救下，最后也没有想到满意的反而更烦了,边界模糊-剔除,23-26 岁 + 专科/本科生
oBow4nOZ4GW,2026-05-08 15:54:22,2026-05-08 15:58:50,268,数据集市,山东省,德州市,MOBILE,Android,Chrome,正常,B. 本科生,30 岁以上,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,D. 让大家投票后再推荐,A. 非常希望，这能帮助大家理解和达成共识,是否营业,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,周末孩子想出去玩，但不知道去哪里。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
bNxK6bEKmJk,2026-05-08 15:54:27,2026-05-08 15:58:49,262,数据集市,山西省,太原市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,我在和朋友有时候出去逛周边都逛完了没意思,边界模糊-剔除,23-26 岁 + 专科/本科生
lxEYqbGa1Vp,2026-05-08 15:56:42,2026-05-08 15:58:49,127,数据集市,湖南省,永州市,MOBILE,Android,Chrome,正常,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,A. 每周 3 次及以上,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,,在校,18-22 岁 + 专科/本科生
Q4wKQXGOG1b,2026-05-08 15:53:58,2026-05-08 15:58:38,280,数据集市,江西省,吉安市,MOBILE,Android,Chrome,正常,A. 专科,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否超预算,是否营业,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,和朋友出去吃饭，口味和预算不一致，感觉挑来挑去很累,在校,18-22 岁 + 专科/本科生
XO2KdPK8K5D,2026-05-08 15:54:22,2026-05-08 15:58:07,225,数据集市,内蒙古自治区,乌兰察布市,MOBILE,Android,Chrome,正常,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,A. 我问它，它再回答,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,D. 不太希望，觉得解释太多会麻烦,是否有人的需求被明显牺牲,是否太远,D. 给出几个不完美但可选的备选方案,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,有一次规划在周边旅游，但是天气变化很大，导致原有计划被打乱而且没有备选计划,在校,18-22 岁 + 专科/本科生
mnGXg1mbo1p,2026-05-08 15:54:07,2026-05-08 15:57:40,213,数据集市,山东省,济南市,MOBILE,iOS,Apple WebKit,正常,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,A. 偶尔纠结，但通常能较快决定,A. 会主动尝试，即使需要花时间适应新工具,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,突发情况去看牙医，找不到合适诊所，不知医院预约挂号人数,在校,18-22 岁 + 专科/本科生
oBow4pNn1qW,2026-05-08 15:54:16,2026-05-08 15:57:18,182,数据集市,吉林省,长春市,MOBILE,Android,Chrome,正常,E. 已工作 1-3 年,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,B. 和朋友约饭 / 聚会地点,C. 经常拖很久也决定不了,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,A. 经常,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否营业,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,我和朋友约在周末吃饭，但是由于工作上的不可抗因素，时间上不合理,已工作,明确选择已工作 1-3 年/3 年以上
oBow4p8mkO0,2026-05-08 15:54:30,2026-05-08 15:57:16,166,数据集市,重庆市,市辖区,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,C. 周末去哪玩 / citywalk / 看展,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否有人的需求被明显牺牲,是否太远,C. 直接告诉我哪里不满足，由我决定是否调整,满意,C. 看具体记什么,B. 可以记录，但需要每个人自己填写或确认后才能使用,,边界模糊-剔除,23-26 岁 + 专科/本科生
NRYKrE3mOWg,2026-05-08 15:54:10,2026-05-08 15:57:13,183,数据集市,江苏省,常州市,MOBILE,Android,Chrome,正常,B. 本科生,23-26 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否超预算,是否排队太久,B. 主动追问缺失信息后再修改,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,上周约朋友去吃饭，路上很堵车，还下雨。,边界模糊-剔除,23-26 岁 + 专科/本科生
XO2KdpPKYdD,2026-05-08 15:54:02,2026-05-08 15:56:23,141,数据集市,江西省,南昌市,MOBILE,Android,Chrome,正常,A. 专科,23-26 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,A. 会主动尝试，即使需要花时间适应新工具,A. 我问它，它再回答,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,A. 直接给一个最优方案,A. 非常希望，这能帮助大家理解和达成共识,是否太远,是否超预算,A. 自动重新生成更符合条件的方案,满意,B. 比较希望,D. 只希望记录我自己的偏好，不希望记录他人的偏好,上个周末约朋友吃饭不知道去哪吃，犹豫了很久,边界模糊-剔除,23-26 岁 + 专科/本科生
XO2KdoNbK3d,2026-05-08 15:54:19,2026-05-08 15:56:18,119,数据集市,江西省,宜春市,MOBILE,Android,WeChat,正常,A. 专科,27-30 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,B. 它可以在合适时间主动提醒我,B. 每周 1-2 次,C. 很少,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否排队太久,是否营业,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,难约就算了，约上了等了半个小时说不来了，被放鸽子受不了。,已工作,27-30 岁/30 岁以上 + 专科/本科生/研究生，按学历回答推断为已工作
mnGXRZ868PK,2026-05-08 15:34:45,2026-05-08 15:55:08,1223,数据集市,重庆市,市辖区,MOBILE,Android,Chrome,正常,A. 专科,23-26 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",B. 每周 3-5 次,D. 怎么安排本地路线 / 活动顺序,B. 需要比较多个 App 或问朋友后才能决定,C. 朋友 / 同学推荐后，我才会尝试,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否超预算,是否营业,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,请朋友吃饭纠结点哪家餐厅,边界模糊-剔除,23-26 岁 + 专科/本科生
Q4wK9y64WYv,2026-05-08 15:35:18,2026-05-08 15:40:19,301,数据集市,甘肃省,兰州市,MOBILE,Android,Chrome,正常,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,D. 怎么安排本地路线 / 活动顺序,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,B. 每周 1-2 次,B. 有时,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,A. 非常希望，这能帮助大家理解和达成共识,是否有人的需求被明显牺牲,是否排队太久,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,A. 可以记录我和朋友 / 同事的偏好，只要能提高决策效率,去野餐，跑了好几个地方，不允许野餐,在校,18-22 岁 + 专科/本科生
WPgK92oj5NB,2026-05-08 15:34:12,2026-05-08 15:39:33,321,数据集市,江苏省,南京市,MOBILE,Android,Chrome,正常,F. 已工作 3 年以上,30 岁以上,C.每周使用几次，有需要时才用,A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,B. 有时,A. 尝试用 AI 生成折中方案，看效果再决定是否继续用,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否营业,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,上周和几个朋友小聚，因为她们居住的地方比较散、就选饭店地址的问题很是让我头疼，怎么选择都会有人不满意！,已工作,明确选择已工作 1-3 年/3 年以上
NRYK9b9WX1W,2026-05-08 15:34:09,2026-05-08 15:38:07,238,数据集市,山西省,长治市,MOBILE,Android,Chrome,正常,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",D. 偶尔使用,B. 和朋友约饭 / 聚会地点,A. 偶尔纠结，但通常能较快决定,"E. 不会用,我习惯自己做决定",C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,C. 很少,B. 继续在群里讨论，由大家慢慢决定,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否超预算,是否有人的需求被明显牺牲,C. 直接告诉我哪里不满足，由我决定是否调整,满意,B. 比较希望,C. 可以记录，但我希望能随时查看、修改或删除,最近要和同学一起去拍摄实践作业，对于中午在哪里吃饭我们发生了分歧。我和另一位舍友想要吃火锅，但是其他舍友中有人不能吃辣，口味不合，协调多次无果。,在校,18-22 岁 + 专科/本科生
WPgyov6dmYb,2026-05-08 07:45:52,2026-05-08 07:49:14,202,匿名作答,陕西省,西安市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,"B.每天日常使用,主要用来聊天、查资料、问问题",A. 几乎每天使用,A. 一个人吃什么/点什么外卖,A. 偶尔纠结，但通常能较快决定,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,D. 很少,D. 几乎没有,C. 让最积极 / 最熟悉的人来决定,B. 给 2-3 个方案，让大家选,C. 无所谓，有没有都可以,是否排队太久,是否超预算,B. 主动追问缺失信息后再修改,满意,A. 非常希望,C. 可以记录，但我希望能随时查看、修改或删除,找不到合适的店铺去玩,在校,18-22 岁 + 专科/本科生
XO2gNBQD688,2026-05-08 01:29:41,2026-05-08 01:35:17,336,匿名作答,澳门特别行政区,路环岛,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,B. 每周 3-5 次,A. 一个人吃什么/点什么外卖,D. 通常懒得做决定，希望有人直接给方案,D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,A. 我问它，它再回答,D. 很少,B. 有时,D. 直接选择最常去、最稳妥的地方,B. 给 2-3 个方案，让大家选,B. 比较希望，但简单说明即可,是否营业,是否超预算,C. 直接告诉我哪里不满足，由我决定是否调整,满意,C. 看具体记什么,C. 可以记录，但我希望能随时查看、修改或删除,纠结吃啥看了半天,在校,18-22 岁 + 专科/本科生
lxE1p1aRxEg,2026-05-08 00:10:28,2026-05-08 00:15:43,315,匿名作答,广东省,广州市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,A. 一个人吃什么/点什么外卖,D. 通常懒得做决定，希望有人直接给方案,B. 看到后会试试，但如果不好用会很快放弃,C. 两者都可以，但主动提醒不能太频繁,A. 每周 3 次及以上,A. 经常,D. 直接选择最常去、最稳妥的地方,D. 让大家投票后再推荐,D. 不太希望，觉得解释太多会麻烦,是否超预算,是否有人的需求被明显牺牲,D. 给出几个不完美但可选的备选方案,满意,D. 不太希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,每天的午饭晚饭都想不到吃什么,在校,18-22 岁 + 专科/本科生
XO2mVaG2v1d,2026-05-07 19:10:39,2026-05-07 19:14:02,203,匿名作答,广东省,广州市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,C.每周使用几次，有需要时才用,A. 几乎每天使用,C. 周末去哪玩 / citywalk / 看展,B. 需要比较多个 App 或问朋友后才能决定,C. 朋友 / 同学推荐后，我才会尝试,C. 两者都可以，但主动提醒不能太频繁,C. 每月 1-3 次,B. 有时,C. 让最积极 / 最熟悉的人来决定,C. 先指出大家的冲突，再给折中方案,B. 比较希望，但简单说明即可,是否排队太久,是否有人的需求被明显牺牲,A. 自动重新生成更符合条件的方案,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,查找citywalk路线无法找到合适或就近的路线,在校,18-22 岁 + 专科/本科生
mnG5RB0QZBA,2026-05-07 18:07:36,2026-05-07 18:11:29,233,匿名作答,江苏省,南京市,MOBILE,Android,WeChat,未检测,B. 本科生,18-22 岁,"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",B. 每周 3-5 次,B. 和朋友约饭 / 聚会地点,B. 需要比较多个 App 或问朋友后才能决定,B. 看到后会试试，但如果不好用会很快放弃,B. 它可以在合适时间主动提醒我,C. 每月 1-3 次,A. 经常,D. 直接选择最常去、最稳妥的地方,A. 直接给一个最优方案,D. 不太希望，觉得解释太多会麻烦,是否排队太久,是否有人的需求被明显牺牲,B. 主动追问缺失信息后再修改,满意,A. 非常希望,B. 可以记录，但需要每个人自己填写或确认后才能使用,寻找环境比较好的电玩厅和台球厅。,在校,18-22 岁 + 专科/本科生
